px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
8.46292	0.243462	-3.04035	0.0287602	0	8.46292	0.243462	8.6	0.25	-3.00029	0	0
8.44647	0.251318	-3.03654	0.028043	-2.82426e-05	8.44818	0.251553	8.45	0.25	-3.00027	0	0.00606407
8.46676	0.247916	-2.56654	0.0386801	0.00081401	8.56759	0.241943	8.45	0.25	0	0	0.991611
8.42227	0.250486	-2.50775	0.0236317	-0.000758735	8.45582	0.253997	8.45	0.25	0	0	0.101119
8.32883	0.249268	-2.54925	0.0208579	-0.00111077	8.42544	0.254042	8.35	0.25	-1.81979	0	0.1185
8.22702	0.248345	-2.5351	0.0180632	-0.00173552	8.23962	0.24916	8.25	0.25	-1.81978	0	0.0110273
7.98563	0.221742	-3.58497	0.0773013	0.0284145	7.93286	0.188391	8.05	0.2	-3.99976	-0.99994	6.30179
7.82871	0.17703	-3.57741	0.142227	0.0634319	7.84073	0.159858	7.85	0.15	-3.99972	-0.99993	0.0472237
7.66537	0.14558	-3.52987	0.165125	0.100347	7.61269	0.155818	7.7	0.15	-2.99982	0	0.110444
7.50719	0.14033	-3.50957	0.135889	0.0626099	7.54016	0.159641	7.55	0.15	-2.99982	0	0.0985552
7.42624	0.0477739	-3.05658	0.315771	0.579826	7.50815	0.0953827	7.45	0.100001	-1.8165	-0.908239	13.9524
7.28573	0.0129227	-3.0305	0.324357	0.54265	7.3426	0.0345312	7.35	0.0500011	-1.81648	-0.90823	0.217553
7.13279	-0.0242602	-3.02769	0.323469	0.46761	7.20598	0.00492725	7.2	9.49949e-07	-2.72851	-0.909507	0.104041
6.99335	-0.0689905	-3.004	0.339813	0.452456	7.05406	-0.0533413	7.05	-0.0499992	-2.72849	-0.909499	0.21951
6.89823	-0.222299	-2.90692	0.6417	1.22648	6.74585	-0.143185	6.95	-0.15	-1.81898	-1.81898	7.05079
6.78826	-0.299069	-2.87575	0.686646	1.18918	6.84972	-0.258748	6.85	-0.25	-1.81896	-1.81897	0.312182
6.67668	-0.375779	-2.86803	0.714723	1.12054	6.66966	-0.346668	6.75	-0.349999	-2.00076	-2.00075	0.0528769
6.58471	-0.470434	-2.85355	0.774705	1.13	6.64329	-0.462604	6.65	-0.449999	-2.00076	-2.00075	0.188215
6.54328	-0.638184	-2.8633	1.02862	1.57171	6.60862	-0.557035	6.6	-0.549999	-0.998836	-1.99769	4.33276
6.48857	-0.737901	-2.82237	1.09616	1.56492	6.56029	-0.650892	6.55	-0.65	-0.99884	-1.99769	0.706456
6.44371	-0.89715	-2.8415	1.24499	1.69388	6.40696	-0.842921	6.5	-0.85	-0.908747	-3.63498	0.662406
6.41093	-1.04812	-2.8359	1.34487	1.70392	6.45805	-1.05268	6.45	-1.05	-0.908739	-3.63494	0.120671
6.29958	-1.12178	-2.70792	1.22042	1.30694	6.38626	-1.15695	6.35	-1.15	-1.81897	-1.81898	11.5297
6.25406	-1.26067	-2.70466	1.2918	1.30715	6.25499	-1.25007	6.25	-1.25	-1.81896	-1.81896	0.0061264
6.33457	-1.47298	-2.7991	1.58733	1.68574	6.43125	-1.48148	6.3	-1.45	0.909739	-3.63894	20.414
